DrugBank_id,drug_smile
DB06605,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
DB01420,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
DB09115,Oc1c(I)cc(I)c2cccnc12
DB00884,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
DB00792,CN(C)CCN(Cc1ccccc1)c1ccccn1
DB01251,COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C
DB01191,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1
DB00872,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2
DB06201,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
DB00500,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
DB01195,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
DB00391,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
DB00790,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC
DB00490,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
DB11259,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O
DB11160,CN(C)CCOc1ccccc1Cc1ccccc1
DB09084,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
DB08880,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
DB00881,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O
DB00916,Cc1ncc([N+](=O)[O-])n1CCO
DB01072,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
DB00577,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21
DB00693,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
DB01062,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
DB01348,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
DB01012,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
DB01685,N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1
DB04861,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1
DB00920,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
DB00400,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
DB06729,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
DB00706,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
DB01133,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O
DB00911,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
DB01578,CC(=O)N(C)c1c(I)c(N=C(C)O)c(I)c(C(O)=N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO)c1I
DB00817,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21
DB00868,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
DB00219,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
DB00652,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C
DB00176,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
DB06704,NC(N)=NCc1cccc(I)c1
DB00358,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
DB00779,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
DB00631,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
DB01324,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
DB06288,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
DB00221,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
DB00967,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
DB09242,COc1nc(C)nc(Cl)c1NC1=NCCN1
DB04898,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N/O)cc1)C1CCCCC1
